frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
0,1.0,[1043.65283203125 134.55084228515625 1598.6656494140625 555.779052734375],[1175.355712890625 452.1225891113281 1249.436279296875 506.5506896972656],0.25506556034088135,S,None
0,2.0,[313.99053955078125 165.88192749023438 923.1300659179688 582.2604370117188],[414.6799621582031 435.2915954589844 561.3450317382812 508.1163024902344],0.6739649176597595,P,None
